xmin	ymin	xmax	ymax	breed
72	24	538	408	chihuahua
6	0	131	131	chihuahua
134	24	361	373	chihuahua
2	0	454	332	chihuahua
75	2	349	324	chihuahua
125	14	340	332	chihuahua
0	17	331	498	chihuahua
1	63	281	498	chihuahua
75	21	399	374	chihuahua
10	11	440	498	chihuahua
45	63	274	463	chihuahua
2	8	629	478	chihuahua
167	78	287	319	chihuahua
19	16	464	317	chihuahua
0	0	285	374	chihuahua
36	155	290	458	chihuahua
180	113	387	360	chihuahua
107	110	296	401	chihuahua
94	127	222	327	chihuahua
67	137	222	380	chihuahua
1230	416	2541	2441	chihuahua
85	78	300	373	chihuahua
30	32	372	498	chihuahua
43	146	251	319	chihuahua
209	6	452	284	chihuahua
25	19	221	238	chihuahua
17	3	494	457	chihuahua
10	22	180	205	chihuahua
65	27	441	349	chihuahua
153	93	323	205	chihuahua
129	124	323	374	chihuahua
8	87	432	340	chihuahua
70	91	230	360	chihuahua
42	11	499	373	chihuahua
0	9	284	332	chihuahua
176	42	422	286	chihuahua
158	14	482	403	chihuahua
61	65	433	374	chihuahua
249	51	384	339	chihuahua
124	234	252	371	chihuahua
78	117	321	473	chihuahua
30	14	236	298	chihuahua
70	148	179	430	chihuahua
107	70	235	147	chihuahua
96	87	380	332	chihuahua
71	1	192	180	chihuahua
98	61	349	325	chihuahua
69	6	174	139	chihuahua
177	134	347	367	chihuahua
92	71	185	286	chihuahua
0	25	373	498	chihuahua
21	0	473	374	chihuahua
159	119	367	342	chihuahua
0	0	379	374	chihuahua
119	103	332	355	chihuahua
189	288	464	483	chihuahua
53	68	312	249	chihuahua
17	17	386	342	chihuahua
49	35	171	154	chihuahua
62	35	336	323	chihuahua
125	9	321	267	chihuahua
105	12	254	266	chihuahua
45	130	204	262	chihuahua
143	46	457	301	chihuahua
139	12	359	327	chihuahua
63	90	418	248	chihuahua
149	74	286	249	chihuahua
42	0	343	281	chihuahua
8	16	374	357	chihuahua
107	29	370	498	chihuahua
0	36	420	498	chihuahua
1	1	374	374	japanese-spaniel
82	53	169	127	japanese-spaniel
142	8	361	410	japanese-spaniel
27	36	505	316	japanese-spaniel
10	2	247	323	japanese-spaniel
30	3	211	210	japanese-spaniel
92	55	423	355	japanese-spaniel
133	52	304	297	japanese-spaniel
33	28	171	185	japanese-spaniel
43	27	388	346	japanese-spaniel
13	5	139	98	japanese-spaniel
29	97	539	378	japanese-spaniel
2	113	454	379	japanese-spaniel
90	16	205	131	japanese-spaniel
116	25	299	239	japanese-spaniel
16	12	177	150	japanese-spaniel
10	2	118	99	japanese-spaniel
0	6	249	268	japanese-spaniel
7	24	290	319	japanese-spaniel
94	31	305	351	japanese-spaniel
26	22	185	287	japanese-spaniel
2	3	189	169	japanese-spaniel
55	13	274	270	japanese-spaniel
0	8	155	229	japanese-spaniel
65	5	494	385	japanese-spaniel
10	11	248	188	japanese-spaniel
24	17	542	481	japanese-spaniel
7	5	220	154	japanese-spaniel
116	24	182	94	japanese-spaniel
24	114	202	268	japanese-spaniel
48	102	367	367	japanese-spaniel
19	22	199	143	japanese-spaniel
56	22	499	374	japanese-spaniel
23	0	598	435	japanese-spaniel
91	55	483	346	japanese-spaniel
29	30	370	289	japanese-spaniel
0	28	141	149	japanese-spaniel
30	103	392	379	japanese-spaniel
1	5	292	257	japanese-spaniel
192	40	625	597	japanese-spaniel
68	1	598	448	japanese-spaniel
47	17	362	401	japanese-spaniel
10	25	196	280	japanese-spaniel
18	14	157	171	japanese-spaniel
34	15	276	225	japanese-spaniel
71	2	192	223	japanese-spaniel
15	30	253	223	japanese-spaniel
4	33	561	545	japanese-spaniel
74	36	347	253	japanese-spaniel
140	42	207	139	japanese-spaniel
21	7	179	219	japanese-spaniel
4	7	377	285	japanese-spaniel
84	36	327	277	japanese-spaniel
1	3	284	276	japanese-spaniel
64	30	268	260	japanese-spaniel
1	1	391	354	japanese-spaniel
22	5	160	130	japanese-spaniel
23	7	392	276	japanese-spaniel
199	32	340	241	japanese-spaniel
60	32	302	396	japanese-spaniel
6	0	598	792	japanese-spaniel
28	13	273	251	japanese-spaniel
98	43	252	226	japanese-spaniel
50	5	203	206	japanese-spaniel
8	2	146	166	japanese-spaniel
73	24	255	255	japanese-spaniel
64	50	201	193	japanese-spaniel
13	24	185	131	japanese-spaniel
2	28	460	419	japanese-spaniel
16	1	350	346	japanese-spaniel
18	22	586	798	japanese-spaniel
30	23	478	427	japanese-spaniel
51	15	342	281	japanese-spaniel
30	11	328	367	japanese-spaniel
0	57	582	447	japanese-spaniel
304	201	638	478	japanese-spaniel
22	21	381	253	japanese-spaniel
11	8	376	384	japanese-spaniel
65	65	384	344	japanese-spaniel
9	4	524	393	japanese-spaniel
39	33	158	187	japanese-spaniel
62	77	432	539	japanese-spaniel
58	67	307	298	japanese-spaniel
6	10	375	384	japanese-spaniel
22	7	322	261	japanese-spaniel
67	54	283	329	japanese-spaniel
27	57	210	266	japanese-spaniel
273	57	438	189	japanese-spaniel
7	7	196	193	japanese-spaniel
177	7	598	270	japanese-spaniel
74	11	252	283	japanese-spaniel
57	55	122	178	japanese-spaniel
2	18	567	464	japanese-spaniel
103	76	563	582	japanese-spaniel
5	34	114	144	japanese-spaniel
42	28	378	347	japanese-spaniel
1	1	149	131	japanese-spaniel
0	8	92	115	japanese-spaniel
23	7	199	184	japanese-spaniel
146	16	332	280	japanese-spaniel
13	12	279	302	japanese-spaniel
39	16	381	340	japanese-spaniel
101	131	597	798	japanese-spaniel
385	76	804	371	japanese-spaniel
24	43	283	216	japanese-spaniel
65	4	538	446	japanese-spaniel
39	69	220	246	japanese-spaniel
15	91	319	394	japanese-spaniel
63	50	483	425	japanese-spaniel
0	0	197	179	japanese-spaniel
32	19	153	161	japanese-spaniel
0	27	209	181	japanese-spaniel
8	2	404	316	japanese-spaniel
41	40	209	218	japanese-spaniel
22	29	219	205	japanese-spaniel
1	63	335	332	japanese-spaniel
3	4	355	422	japanese-spaniel
36	28	542	409	japanese-spaniel
49	25	272	250	japanese-spaniel
22	117	370	522	japanese-spaniel
71	97	598	434	japanese-spaniel
1	6	161	199	japanese-spaniel
16	28	329	296	japanese-spaniel
8	1	286	349	japanese-spaniel
8	8	394	390	japanese-spaniel
35	57	218	217	japanese-spaniel
32	20	327	395	japanese-spaniel
8	1	195	259	japanese-spaniel
58	10	429	374	japanese-spaniel
0	1	183	199	japanese-spaniel
0	29	199	193	japanese-spaniel
19	14	262	279	japanese-spaniel
207	178	672	508	japanese-spaniel
23	20	205	197	japanese-spaniel
9	30	433	385	japanese-spaniel
13	44	175	243	japanese-spaniel
27	22	154	133	japanese-spaniel
51	26	344	304	japanese-spaniel
138	36	530	448	japanese-spaniel
19	18	171	167	japanese-spaniel
66	49	323	262	japanese-spaniel
13	17	589	520	japanese-spaniel
0	37	220	249	japanese-spaniel
70	7	596	699	japanese-spaniel
40	26	184	217	japanese-spaniel
66	36	282	238	japanese-spaniel
68	33	559	428	japanese-spaniel
26	24	199	166	japanese-spaniel
57	20	176	120	japanese-spaniel
176	78	392	288	japanese-spaniel
50	133	280	447	japanese-spaniel
121	63	339	244	japanese-spaniel
67	5	237	209	japanese-spaniel
0	101	564	377	japanese-spaniel
30	80	168	266	japanese-spaniel
53	21	249	274	japanese-spaniel
30	25	223	398	japanese-spaniel
19	8	212	215	japanese-spaniel
0	0	119	119	japanese-spaniel
43	20	239	284	japanese-spaniel
166	232	528	750	japanese-spaniel
41	54	430	524	japanese-spaniel
5	9	129	116	japanese-spaniel
1	0	149	149	japanese-spaniel
3	56	461	373	japanese-spaniel
53	27	223	179	japanese-spaniel
57	36	395	363	japanese-spaniel
35	29	237	330	japanese-spaniel
131	169	598	404	japanese-spaniel
12	5	256	284	japanese-spaniel
180	76	551	386	japanese-spaniel
9	24	159	253	japanese-spaniel
27	43	202	306	japanese-spaniel
52	3	170	180	japanese-spaniel
1	25	349	221	japanese-spaniel
24	15	219	219	japanese-spaniel
8	8	217	177	japanese-spaniel
44	25	460	386	japanese-spaniel
17	116	197	270	japanese-spaniel
25	34	241	292	japanese-spaniel
31	22	276	231	japanese-spaniel
17	96	567	452	japanese-spaniel
72	1	178	147	japanese-spaniel
41	150	598	616	japanese-spaniel
63	25	193	193	japanese-spaniel
111	21	430	374	maltese-dog
153	71	476	374	maltese-dog
170	90	364	339	maltese-dog
22	86	498	374	maltese-dog
63	19	499	327	maltese-dog
133	0	410	333	maltese-dog
16	57	362	442	maltese-dog
173	28	329	248	maltese-dog
51	0	321	328	maltese-dog
138	82	375	333	maltese-dog
211	77	392	415	maltese-dog
3	0	216	373	maltese-dog
164	70	313	276	maltese-dog
16	2	281	294	maltese-dog
124	25	435	374	maltese-dog
4	34	795	815	maltese-dog
84	54	409	314	maltese-dog
31	23	366	263	maltese-dog
114	16	379	410	maltese-dog
0	92	203	374	maltese-dog
69	78	358	309	maltese-dog
96	187	322	462	maltese-dog
81	210	330	498	maltese-dog
124	15	383	333	maltese-dog
133	18	419	308	maltese-dog
73	48	429	359	maltese-dog
1	39	367	329	maltese-dog
16	21	238	217	maltese-dog
19	0	424	332	maltese-dog
1	192	161	345	maltese-dog
172	68	307	251	maltese-dog
36	95	307	398	maltese-dog
0	47	463	299	maltese-dog
12	14	485	370	maltese-dog
118	0	415	285	maltese-dog
79	26	325	332	maltese-dog
203	59	461	332	maltese-dog
172	122	497	371	maltese-dog
70	142	328	406	maltese-dog
24	28	457	344	maltese-dog
202	77	320	222	maltese-dog
156	161	283	421	maltese-dog
146	0	364	336	maltese-dog
27	0	498	373	maltese-dog
183	88	335	239	maltese-dog
36	26	364	498	maltese-dog
141	30	414	337	maltese-dog
47	47	330	498	maltese-dog
109	94	332	284	maltese-dog
129	47	273	344	maltese-dog
152	43	499	334	maltese-dog
96	2	278	297	maltese-dog
95	95	305	440	maltese-dog
212	53	446	325	maltese-dog
0	1	373	497	maltese-dog
44	5	427	374	maltese-dog
91	12	428	295	maltese-dog
23	84	184	275	maltese-dog
4	40	406	374	maltese-dog
67	111	284	433	maltese-dog
0	40	494	374	maltese-dog
205	137	302	276	maltese-dog
42	72	258	387	maltese-dog
33	22	293	303	maltese-dog
32	46	287	398	maltese-dog
6	31	423	498	maltese-dog
203	11	496	372	maltese-dog
11	61	385	317	maltese-dog
45	161	217	392	maltese-dog
108	92	310	374	maltese-dog
22	31	273	472	maltese-dog
10	61	335	455	maltese-dog
72	45	466	298	maltese-dog
7	161	252	493	maltese-dog
5	25	481	356	maltese-dog
47	22	309	436	maltese-dog
140	0	375	283	maltese-dog
83	105	380	391	maltese-dog
34	37	487	358	maltese-dog
209	0	399	298	maltese-dog
28	13	302	232	maltese-dog
100	71	434	261	maltese-dog
0	127	331	498	maltese-dog
34	110	336	344	maltese-dog
42	59	168	204	maltese-dog
85	105	398	289	maltese-dog
181	90	431	345	maltese-dog
56	21	309	471	maltese-dog
128	101	397	292	maltese-dog
167	156	407	366	maltese-dog
42	52	348	282	maltese-dog
17	152	188	332	maltese-dog
142	121	499	329	maltese-dog
216	212	346	353	maltese-dog
38	47	371	376	maltese-dog
106	51	382	332	maltese-dog
103	94	445	395	maltese-dog
122	128	361	326	maltese-dog
21	10	249	371	maltese-dog
38	45	493	374	maltese-dog
178	13	373	317	maltese-dog
103	51	267	427	maltese-dog
163	133	335	304	maltese-dog
166	52	400	286	maltese-dog
0	7	315	311	maltese-dog
95	21	410	328	maltese-dog
35	35	436	498	maltese-dog
129	8	353	249	maltese-dog
143	82	328	331	maltese-dog
138	31	399	354	maltese-dog
0	111	324	498	maltese-dog
108	109	479	360	maltese-dog
148	1	479	359	maltese-dog
148	13	402	336	maltese-dog
32	146	272	374	maltese-dog
0	26	332	340	maltese-dog
7	26	420	488	maltese-dog
11	25	396	498	maltese-dog
85	77	337	496	maltese-dog
21	2	374	321	maltese-dog
179	2	386	311	maltese-dog
0	53	499	374	maltese-dog
95	16	381	470	maltese-dog
0	80	463	326	maltese-dog
122	69	499	374	maltese-dog
149	57	377	332	maltese-dog
69	1	475	374	maltese-dog
122	16	465	314	maltese-dog
92	7	498	347	maltese-dog
137	16	377	333	maltese-dog
0	1	413	374	maltese-dog
103	50	372	361	maltese-dog
96	110	299	404	maltese-dog
52	78	329	447	maltese-dog
164	30	362	332	maltese-dog
41	9	329	371	maltese-dog
0	80	331	498	maltese-dog
0	14	447	334	maltese-dog
0	91	473	323	maltese-dog
156	37	348	332	maltese-dog
82	0	374	287	maltese-dog
60	27	232	235	maltese-dog
133	37	311	239	maltese-dog
188	283	393	488	maltese-dog
30	43	445	436	maltese-dog
150	88	360	278	maltese-dog
0	0	425	374	maltese-dog
0	48	453	345	maltese-dog
15	36	379	332	maltese-dog
219	67	370	278	maltese-dog
67	0	480	332	maltese-dog
145	0	458	374	maltese-dog
191	162	349	298	maltese-dog
19	1	240	222	maltese-dog
167	18	319	315	maltese-dog
109	2	447	335	maltese-dog
73	13	402	374	maltese-dog
78	37	378	337	maltese-dog
31	16	421	488	maltese-dog
40	33	433	496	maltese-dog
2	28	499	374	maltese-dog
172	94	327	306	maltese-dog
129	5	422	373	maltese-dog
149	85	307	341	maltese-dog
0	12	299	329	maltese-dog
17	53	194	138	maltese-dog
150	30	379	325	maltese-dog
77	32	290	498	maltese-dog
121	6	455	360	maltese-dog
267	107	472	373	maltese-dog
27	45	493	325	maltese-dog
0	32	391	324	maltese-dog
117	20	420	374	maltese-dog
161	17	459	399	maltese-dog
126	1	273	145	maltese-dog
184	43	373	316	maltese-dog
37	0	490	430	maltese-dog
111	59	498	329	maltese-dog
81	28	399	299	maltese-dog
55	76	424	304	maltese-dog
111	0	499	374	maltese-dog
216	74	405	321	maltese-dog
80	62	428	332	maltese-dog
71	43	312	498	maltese-dog
8	52	492	391	maltese-dog
127	2	415	353	maltese-dog
1	17	404	498	maltese-dog
92	93	371	304	maltese-dog
2	48	418	293	maltese-dog
107	39	404	332	maltese-dog
0	5	370	374	maltese-dog
123	170	351	400	maltese-dog
160	102	367	271	maltese-dog
131	17	427	348	maltese-dog
111	67	975	760	maltese-dog
0	18	479	342	maltese-dog
118	38	479	326	maltese-dog
111	53	301	361	maltese-dog
175	113	448	292	maltese-dog
129	28	285	274	maltese-dog
56	58	373	481	maltese-dog
129	168	417	374	maltese-dog
0	0	469	374	maltese-dog
129	96	389	348	maltese-dog
152	65	360	293	maltese-dog
84	11	404	374	maltese-dog
0	28	383	374	maltese-dog
37	139	324	498	maltese-dog
92	28	264	331	maltese-dog
36	97	189	295	maltese-dog
15	82	290	463	maltese-dog
234	127	384	366	maltese-dog
255	29	423	274	maltese-dog
2	13	499	298	maltese-dog
70	31	499	308	maltese-dog
179	27	430	271	maltese-dog
14	28	396	332	maltese-dog
180	13	471	357	maltese-dog
126	29	458	283	maltese-dog
58	77	332	311	maltese-dog
183	68	382	320	maltese-dog
35	11	375	372	maltese-dog
0	45	331	498	maltese-dog
5	7	436	491	maltese-dog
0	47	331	498	maltese-dog
56	37	370	340	maltese-dog
120	165	390	374	maltese-dog
14	8	498	406	maltese-dog
0	118	369	373	maltese-dog
146	160	373	498	maltese-dog
95	56	300	466	maltese-dog
318	218	452	300	maltese-dog
202	184	365	323	maltese-dog
165	56	322	284	maltese-dog
185	37	312	276	maltese-dog
127	52	474	333	maltese-dog
0	74	398	311	maltese-dog
107	69	449	315	maltese-dog
40	131	303	319	maltese-dog
113	33	498	351	maltese-dog
76	158	225	297	maltese-dog
173	2	430	374	maltese-dog
86	54	251	224	maltese-dog
18	8	173	213	maltese-dog
1	0	418	374	maltese-dog
136	4	426	332	maltese-dog
126	86	297	374	maltese-dog
148	16	492	374	maltese-dog
60	93	209	315	maltese-dog
214	1	450	260	maltese-dog
83	22	499	331	maltese-dog
3	4	363	297	maltese-dog
1	3	249	169	pekinese
67	8	315	253	pekinese
86	83	383	200	pekinese
36	24	359	230	pekinese
38	21	373	453	pekinese
0	0	331	498	pekinese
79	36	313	299	pekinese
71	72	320	385	pekinese
145	16	499	292	pekinese
250	88	499	285	pekinese
131	33	356	283	pekinese
0	0	273	164	pekinese
8	13	293	186	pekinese
10	21	294	294	pekinese
154	1	364	138	pekinese
38	0	499	332	pekinese
2	12	387	374	pekinese
64	18	456	356	pekinese
132	82	366	296	pekinese
0	10	398	332	pekinese
20	54	304	302	pekinese
192	90	369	325	pekinese
25	18	329	450	pekinese
201	34	499	368	pekinese
178	136	352	361	pekinese
79	76	295	332	pekinese
87	80	390	374	pekinese
52	76	465	478	pekinese
259	50	497	309	pekinese
141	22	323	295	pekinese
29	78	446	297	pekinese
131	126	224	207	pekinese
169	110	367	374	pekinese
133	80	401	239	pekinese
27	49	484	300	pekinese
0	30	499	332	pekinese
187	34	420	324	pekinese
129	69	385	385	pekinese
182	6	459	374	pekinese
131	152	324	282	pekinese
161	108	322	225	pekinese
84	63	444	374	pekinese
128	34	412	238	pekinese
50	125	318	456	pekinese
81	86	398	383	pekinese
40	33	399	276	pekinese
0	48	499	286	pekinese
135	33	326	311	pekinese
1	109	425	302	pekinese
105	0	498	303	pekinese
124	78	384	332	pekinese
1	8	335	320	pekinese
12	68	195	189	pekinese
86	172	264	376	pekinese
119	0	409	357	pekinese
24	17	472	353	pekinese
83	0	472	332	pekinese
100	150	331	416	pekinese
82	15	499	374	pekinese
57	15	499	374	pekinese
2	1	196	199	pekinese
84	8	499	330	pekinese
160	5	498	294	pekinese
115	92	255	432	pekinese
219	128	332	328	pekinese
163	55	437	374	pekinese
20	38	416	268	pekinese
25	10	124	183	pekinese
0	18	452	341	pekinese
223	52	431	316	pekinese
27	174	235	361	pekinese
22	85	331	408	pekinese
23	61	356	359	pekinese
111	30	498	322	pekinese
37	31	331	277	pekinese
9	9	391	198	pekinese
111	15	287	271	pekinese
39	32	161	232	pekinese
205	121	401	281	pekinese
0	146	235	498	pekinese
86	21	271	224	pekinese
33	80	336	376	pekinese
18	31	454	296	pekinese
141	93	364	368	pekinese
23	10	233	195	pekinese
231	66	383	286	pekinese
92	84	282	342	pekinese
117	76	290	237	pekinese
33	48	319	239	pekinese
23	12	299	349	pekinese
25	0	396	332	pekinese
75	175	252	378	pekinese
0	85	341	495	pekinese
2	42	348	382	pekinese
1	47	466	374	pekinese
165	73	370	238	pekinese
113	2	293	254	pekinese
41	179	331	498	pekinese
158	90	381	327	pekinese
2	25	331	357	pekinese
0	72	334	408	pekinese
0	0	444	373	pekinese
278	0	499	266	pekinese
3	2	499	374	pekinese
41	113	401	299	pekinese
146	6	467	270	pekinese
160	0	462	374	pekinese
188	46	311	280	pekinese
141	49	359	278	pekinese
0	18	231	187	pekinese
0	73	331	498	pekinese
13	44	396	453	pekinese
135	60	411	374	pekinese
25	23	389	319	pekinese
151	73	377	257	pekinese
102	46	406	327	pekinese
68	51	418	374	pekinese
94	99	345	215	pekinese
14	26	498	451	pekinese
0	90	261	374	pekinese
23	82	373	498	pekinese
2	22	352	498	pekinese
131	11	323	292	pekinese
96	78	445	374	pekinese
42	0	499	374	pekinese
166	123	326	286	pekinese
408	220	1025	931	pekinese
12	9	220	178	pekinese
317	152	499	337	pekinese
2	4	182	153	pekinese
2	14	291	185	pekinese
0	6	499	374	pekinese
94	199	380	488	pekinese
0	44	189	192	pekinese
47	5	311	382	pekinese
101	50	321	372	pekinese
58	46	487	422	pekinese
0	6	340	359	pekinese
133	14	498	265	pekinese
92	59	499	309	pekinese
2	0	356	374	pekinese
226	48	493	373	pekinese
96	81	294	203	pekinese
55	0	446	373	pekinese
126	55	357	261	pekinese
19	33	340	288	pekinese
16	27	316	289	pekinese
50	55	240	455	pekinese
52	42	334	283	pekinese
232	51	451	331	shih-tzu
0	4	263	351	shih-tzu
62	33	331	498	shih-tzu
83	153	270	453	shih-tzu
183	148	394	332	shih-tzu
178	146	319	347	shih-tzu
0	74	445	374	shih-tzu
120	65	330	280	shih-tzu
36	22	373	498	shih-tzu
118	97	302	203	shih-tzu
100	97	267	263	shih-tzu
247	86	374	279	shih-tzu
130	300	234	427	shih-tzu
3	7	102	244	shih-tzu
50	55	459	346	shih-tzu
84	0	415	368	shih-tzu
127	32	371	333	shih-tzu
2	120	316	417	shih-tzu
63	0	373	446	shih-tzu
20	91	336	493	shih-tzu
26	25	455	427	shih-tzu
4	49	391	375	shih-tzu
144	76	352	301	shih-tzu
32	9	497	368	shih-tzu
50	20	457	446	shih-tzu
47	44	421	309	shih-tzu
0	45	491	225	shih-tzu
111	7	459	332	shih-tzu
155	71	384	355	shih-tzu
90	68	382	284	shih-tzu
2	6	343	490	shih-tzu
159	81	464	296	shih-tzu
76	96	451	374	shih-tzu
26	53	373	420	shih-tzu
88	55	298	374	shih-tzu
120	14	446	322	shih-tzu
0	35	397	343	shih-tzu
72	120	297	410	shih-tzu
126	74	428	374	shih-tzu
145	65	370	374	shih-tzu
107	12	499	374	shih-tzu
24	32	351	214	shih-tzu
127	212	236	353	shih-tzu
123	3	372	329	shih-tzu
63	27	319	200	shih-tzu
2	76	262	363	shih-tzu
99	1	367	374	shih-tzu
212	119	363	318	shih-tzu
101	136	480	389	shih-tzu
50	66	408	353	shih-tzu
57	72	313	451	shih-tzu
160	50	333	416	shih-tzu
146	66	264	288	shih-tzu
36	17	373	498	shih-tzu
37	71	320	427	shih-tzu
0	35	498	436	shih-tzu
1	31	373	491	shih-tzu
0	36	340	241	shih-tzu
0	55	499	310	shih-tzu
175	21	365	304	shih-tzu
52	0	342	498	shih-tzu
19	9	178	209	shih-tzu
41	77	325	498	shih-tzu
107	67	429	282	shih-tzu
94	84	300	370	shih-tzu
134	63	371	281	shih-tzu
112	215	388	356	shih-tzu
112	0	373	480	shih-tzu
2	49	499	374	shih-tzu
55	14	417	366	shih-tzu
259	171	499	356	shih-tzu
49	58	491	328	shih-tzu
84	30	365	252	shih-tzu
121	156	355	440	shih-tzu
79	19	367	332	shih-tzu
141	26	457	367	shih-tzu
65	1	492	321	shih-tzu
158	39	338	328	shih-tzu
203	14	369	239	shih-tzu
95	50	399	374	shih-tzu
65	75	414	374	shih-tzu
6	156	269	467	shih-tzu
70	5	499	305	shih-tzu
41	67	393	293	shih-tzu
82	61	274	265	shih-tzu
90	76	240	249	shih-tzu
87	77	227	312	shih-tzu
11	2	381	243	shih-tzu
153	121	262	250	shih-tzu
140	48	311	282	shih-tzu
0	29	443	374	shih-tzu
0	39	475	374	shih-tzu
126	81	478	332	shih-tzu
86	13	217	213	shih-tzu
1	6	468	374	shih-tzu
136	5	403	287	shih-tzu
43	18	348	394	shih-tzu
188	122	316	291	shih-tzu
35	16	247	217	shih-tzu
101	35	479	303	shih-tzu
184	53	435	362	shih-tzu
185	22	346	254	shih-tzu
0	33	286	313	shih-tzu
7	23	380	299	shih-tzu
61	0	327	242	shih-tzu
62	20	347	390	shih-tzu
92	67	221	181	shih-tzu
130	224	399	374	shih-tzu
100	7	293	203	shih-tzu
1	94	463	369	shih-tzu
58	0	420	331	shih-tzu
32	43	428	374	shih-tzu
277	2	424	178	shih-tzu
7	56	382	487	shih-tzu
91	98	447	498	shih-tzu
75	61	418	373	shih-tzu
103	50	388	267	shih-tzu
56	109	302	227	shih-tzu
56	43	342	408	shih-tzu
148	100	408	291	shih-tzu
0	45	391	357	shih-tzu
201	116	332	253	shih-tzu
30	31	270	231	shih-tzu
0	0	369	374	shih-tzu
0	42	479	374	shih-tzu
0	42	373	498	shih-tzu
66	118	302	310	shih-tzu
180	54	469	374	shih-tzu
76	11	479	366	shih-tzu
66	116	351	272	shih-tzu
302	93	430	262	shih-tzu
119	8	325	315	shih-tzu
37	66	496	361	shih-tzu
0	107	287	478	shih-tzu
31	80	229	416	shih-tzu
157	190	434	336	shih-tzu
103	40	237	243	shih-tzu
130	100	492	335	shih-tzu
94	6	331	330	shih-tzu
0	1	271	266	shih-tzu
1	68	338	374	shih-tzu
133	130	358	440	shih-tzu
46	70	399	343	shih-tzu
1	20	373	498	shih-tzu
137	94	337	346	shih-tzu
104	73	426	358	shih-tzu
78	6	491	308	shih-tzu
0	90	410	271	shih-tzu
28	38	365	472	shih-tzu
48	63	461	364	shih-tzu
32	65	428	471	shih-tzu
86	7	359	370	shih-tzu
0	172	261	483	shih-tzu
18	20	318	391	shih-tzu
73	13	419	344	shih-tzu
327	111	496	281	shih-tzu
61	119	499	374	shih-tzu
155	74	499	331	shih-tzu
27	1	424	321	shih-tzu
78	46	431	231	shih-tzu
18	29	334	308	shih-tzu
13	0	358	314	shih-tzu
151	59	499	374	shih-tzu
57	1	343	354	shih-tzu
109	49	438	371	shih-tzu
24	43	174	228	shih-tzu
70	105	435	368	shih-tzu
20	12	496	442	shih-tzu
16	118	228	498	shih-tzu
111	79	379	327	shih-tzu
72	49	388	332	shih-tzu
2	0	327	402	shih-tzu
6	0	499	374	shih-tzu
127	46	368	329	shih-tzu
0	78	247	422	shih-tzu
1	0	339	333	shih-tzu
218	219	331	357	shih-tzu
174	100	315	234	shih-tzu
22	12	480	374	shih-tzu
19	56	379	401	shih-tzu
170	44	499	254	shih-tzu
24	34	481	329	shih-tzu
1	62	281	445	shih-tzu
123	109	400	327	shih-tzu
11	14	362	337	shih-tzu
77	27	400	295	shih-tzu
83	0	345	332	shih-tzu
113	38	456	341	shih-tzu
35	30	496	374	shih-tzu
27	53	343	374	shih-tzu
47	97	272	498	shih-tzu
2	2	490	374	shih-tzu
33	184	226	370	shih-tzu
100	65	268	333	shih-tzu
1	0	453	228	shih-tzu
264	94	433	331	shih-tzu
123	121	293	303	shih-tzu
